City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,La Palma,US,33.8464,-118.0467,60.82,76,20,4.61,few clouds
268,Ambalavao,MG,-21.8333,46.9333,67.48,80,53,7.2,broken clouds
269,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,68,100,8.88,light rain
270,Moorhead,US,46.8739,-96.7676,19.42,86,100,0.0,overcast clouds
271,Montego Bay,JM,18.4712,-77.9188,84.78,69,63,10.83,broken clouds
272,Mahajanga,MG,-15.7167,46.3167,82.42,69,20,10.36,few clouds
273,Port Macquarie,AU,-31.4333,152.9167,67.89,92,100,10.02,light rain
274,Yangambi,CD,0.8102,24.4336,75.38,78,44,0.38,scattered clouds
275,Tomohon,ID,1.3346,124.8392,67.14,92,92,0.22,overcast clouds
276,Oktyabrskoye,RU,43.0645,44.7417,41.14,65,38,4.47,scattered clouds
277,Nuuk,GL,64.1835,-51.7216,30.81,64,75,9.22,broken clouds
278,Stornoway,GB,58.2093,-6.3865,57.16,84,0,5.75,clear sky
279,Quang Ngai,VN,15.1167,108.8,75.31,89,75,4.18,broken clouds
280,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.55,97,100,3.38,snow
281,Roma,US,43.2128,-75.4557,41.95,93,100,10.36,light rain
282,Wenling,CN,28.3669,121.36,60.85,79,100,12.91,overcast clouds
283,Hokitika,NZ,-42.7167,170.9667,53.1,85,0,3.4,clear sky
284,Cabedelo,BR,-6.9811,-34.8339,84.87,68,40,11.97,scattered clouds
285,Memari,IN,23.2,88.1167,68.4,43,0,7.14,clear sky
286,Hervey Bay,AU,-25.2986,152.8535,72.09,74,71,13.2,broken clouds
287,Lavrentiya,RU,65.5833,-171.0,14.5,75,4,4.59,clear sky
288,Rafai,CF,4.95,23.9167,76.95,62,19,1.95,few clouds
289,Mount Gambier,AU,-37.8333,140.7667,49.35,99,79,6.02,moderate rain
290,Scottsbluff,US,41.8666,-103.6672,38.79,50,0,8.05,clear sky
291,Seuzach,CH,47.5342,8.7261,45.9,88,100,2.3,overcast clouds
292,Coihaique,CL,-45.5752,-72.0662,61.41,55,75,11.5,broken clouds
293,Maun,BW,-19.9833,23.4167,87.57,31,70,4.79,broken clouds
294,Dakar,SN,14.6937,-17.4441,88.68,60,98,15.66,overcast clouds
295,Catamarca,AR,-28.4696,-65.7852,67.59,86,92,1.99,overcast clouds
296,Trairi,BR,-3.2778,-39.2689,87.66,59,29,15.88,scattered clouds
297,Chokurdakh,RU,70.6333,147.9167,-32.57,100,75,5.06,broken clouds
298,Codrington,AU,-38.2667,141.9667,52.97,94,100,9.73,moderate rain
299,Upernavik,GL,72.7868,-56.1549,22.51,63,58,3.15,broken clouds
300,Zyryanovsk,KZ,49.7386,84.2719,24.62,97,100,2.15,overcast clouds
301,Melito Di Porto Salvo,IT,37.9222,15.7714,64.74,77,75,5.75,broken clouds
